Kecamatan;Jumlah SD;Jumlah Guru SD;Jumlah Sekolah SMP;Jumlah Guru SMP;Jumlah Sekolah SMA;Jumlah Guru SMA;jmlh
Pondokgede;58;1037;24;389;7;164;1590
Jatisampurna;37;649;17;402;7;190;1241
Pondokmelati;32;565;15;207;7;185;957
Jatiasih;66;1140;37;601;14;297;2038
Bantargebang;26;404;10;191;2;85;680
Mustikajaya;48;1090;26;451;6;154;1695
Bekasi Timur;58;1398;30;591;12;320;2309
Rawalumbu;60;1169;30;551;11;254;1974
Bekasi Selatan;58;917;21;384;13;415;1716
Bekasi Barat;69;1084;23;358;10;164;1606
Medansatria;50;778;28;410;11;213;1401
Bekasi utara;75;1585;41;723;14;305;2613
